OrderNum,OrderDate,OrderType,CustomerType,CustName,CustCountry,CustCity,ProdCategory,ProdNumber,ProdName,Quantity, Price , Discount , Total Cost 
1101843,10/1/2018,Wholesale,Business,Quigley Inc.,Algeria,Boghni,Blueprints,BP104,Cat Robot Blueprint,12, $ 4.99 , $ 1.00 , $ 58.88 
1101844,10/1/2018,Wholesale,Business,Pollich Inc.,Morocco,Tamorot,eBooks,EB502,Building Your First Robot,6, $ 24.95 , $ 4.99 , $ 144.71 
1101845,10/1/2018,Retail,Individual,Brose Clifft,Morocco,Ida Ou Azza,Drones,DS305,DTI-84 Drone,1, $ 455.00 , 0 , $ 455.00 
1101846,10/1/2018,Retail,Individual,Lisle Tunnick,Morocco,Laamarna,Drones,DS306,DX-145 Drone,1, $ 250.00 , 0 , $ 250.00 
1101847,10/1/2018,Wholesale,Business,Wintheiser Inc.,Morocco,Sidi Chiker,Training Videos,TV801,Aerial Security,68, $ 36.99 , $ 7.40 ," $ 2,507.92 "
1101848,10/1/2018,Retail,Individual,Rose Veum,Morocco,Taouz,Drone Kits,DK201,BYOD-100,1, $ 54.00 , 0 , $ 54.00 
1101849,11/1/2018,Retail,Individual,Guido Davidov,Morocco,Douar Lehouifrat,eBooks,EB516,RTF Drones,1, $ 16.99 , 0 , $ 16.99 
1101850,11/1/2018,Retail,Individual,Lancelot Bech,Morocco,Ain El Aouda,Training Videos,TV808,Robotic Essentials,1, $ 34.99 , 0 , $ 34.99 
1101851,11/1/2018,Retail,Individual,Eugine Choak,Morocco,Sabaa Aiyoun,eBooks,EB511,Helicopter Drones,1, $ 20.95 , 0 , $ 20.95 
1101852,11/1/2018,Wholesale,Business,Harvey Group,Morocco,Douar Trougout,eBooks,EB516,RTF Drones,9, $ 16.99 , $ 3.40 , $ 149.51 
1101853,11/1/2018,Retail,Individual,Cassey Vasyutichev,Morocco,Sidi al Ghandour,Robot Kits,RK606,BYOR-3535,1, $ 225.00 , 0 , $ 225.00 
1101854,11/1/2018,Retail,Individual,Annnora De Witt,Iraq,Kuysinjaq,Drones,DS302,DC-304 Drone,1, $ 395.00 , 0 , $ 395.00 
1101855,12/1/2018,Retail,Individual,Richie Rowbottam,Morocco,Ac-cahrij,Training Videos,TV804,Drone Video Techniques,1, $ 37.99 , 0 , $ 37.99 
1101856,12/1/2018,Wholesale,Business,Little and Sons,Morocco,Douar Olad. Salem,Blueprints,BP108,Panda Robot Blueprint,6, $ 7.99 , $ 1.60 , $ 46.34 
1101857,12/1/2018,Wholesale,Business,Larkin Group,Algeria,Bechloul,Blueprints,BP102,Bsquare Robot Blueprint,6, $ 8.99 , $ 1.80 , $ 52.14 
1101858,12/1/2018,Wholesale,Business,Mann LLC,Morocco,Fritissa,eBooks,EB503,Building Your Own Drone,10, $ 24.99 , $ 5.00 , $ 244.90 
1101859,12/1/2018,Wholesale,Business,The Wisoky Team,Morocco,Mestigmer,eBooks,EB511,Helicopter Drones,8, $ 20.95 , $ 4.19 , $ 163.41 
1101860,12/1/2018,Wholesale,Business,Larkin Group,Egypt,Birqash,Robot Kits,RK603,BYOR-1500,70, $ 189.00 , $ 37.80 ," $ 13,192.20 "
1101861,12/1/2018,Retail,Individual,Harvey Cronin,Syria,Salqin,Drones,DS301,DA-SA702 Drone,1, $ 399.00 , 0 , $ 399.00 
1101862,12/1/2018,Retail,Individual,Farlay Heeks,Morocco,Sidi Moussa Ben Ali,Blueprints,BP104,Cat Robot Blueprint,1, $ 4.99 , 0 , $ 4.99 
1101863,13/1/2018,Retail,Individual,Resse Moen,Morocco,Jemaat Moul Blad,eBooks,EB501,Articulated Robots,1, $ 23.99 , 0 , $ 23.99 
1101864,13/1/2018,Retail,Individual,Correy Sunnucks,Morocco,Al Khmissat,Robots,RS705,RQTE-554 Robot,2, $ 684.00 , 0 ," $ 1,368.00 "
1101865,13/1/2018,Retail,Individual,Codi Deedes,Algeria,Souk Ahras,eBooks,EB513,Photograph Drones,1, $ 14.99 , 0 , $ 14.99 
1101866,13/1/2018,Wholesale,Business,Zemlak Inc.,Morocco,Khat Azakane,Drones,DS307,MICR-564K Drone,6, $ 499.00 , $ 99.80 ," $ 2,894.20 "
1101867,13/1/2018,Wholesale,Business,Kuhic Inc.,Morocco,'Ayn Bni Mathar,eBooks,EB512,Multi Rotor Drones,8, $ 24.95 , $ 4.99 , $ 194.61 
1101868,13/1/2018,Retail,Individual,Nataline Stebbings,Algeria,Azeffoun,Blueprints,BP110,Upside Down Robot Blueprint,1, $ 12.00 , 0 , $ 12.00 
1101869,13/1/2018,Wholesale,Business,Larson Inc.,Morocco,Oulad Fraj,Training Videos,TV807,Open Source Code,15, $ 32.95 , $ 6.59 , $ 487.66 
1101870,14/1/2018,Retail,Individual,Aarika Adlington,Morocco,El Ghourdane,eBooks,EB506,Delta Robots,1, $ 16.99 , 0 , $ 16.99 
1101871,14/1/2018,Wholesale,Business,Considine Group,Morocco,Dzouz,eBooks,EB508,Fixed Wing Drones,10, $ 15.50 , $ 3.10 , $ 151.90 
1101872,14/1/2018,Retail,Individual,Vilhelmina Arnold,Morocco,Souakene,Blueprints,BP106,Hexacopter Drone Blueprint,1, $ 8.99 , 0 , $ 8.99 
1101873,14/1/2018,Wholesale,Business,Gusikowski Group,Morocco,Douar Echbanat,eBooks,EB521,Understanding Artificial Intelligence,7, $ 19.50 , $ 3.90 , $ 132.60 
1101874,14/1/2018,Wholesale,Business,Koch LLC,Saudi Arabia,Sakaka,eBooks,EB509,GPS Drones,10, $ 19.99 , $ 4.00 , $ 195.90 
1101875,14/1/2018,Wholesale,Business,Kiehn LLC,Algeria,Laghouat,Drones,DS306,DX-145 Drone,8, $ 250.00 , $ 50.00 ," $ 1,950.00 "
1101876,14/1/2018,Retail,Individual,Ed Zboncak,Morocco,Sidi Jaber,Training Videos,TV810,Understanding Automation,1, $ 44.95 , 0 , $ 44.95 
1101877,14/1/2018,Wholesale,Business,Upton LLC,Morocco,El Aargub,Drone Kits,DK204,BYOD-300,82, $ 89.00 , $ 17.80 ," $ 7,280.20 "
1101878,15/1/2018,Wholesale,Business,Stroman Inc.,Syria,Duma,Drones,DS306,DX-145 Drone,7, $ 250.00 , $ 50.00 ," $ 1,700.00 "
1101879,15/1/2018,Wholesale,Business,Fisher Inc.,Morocco,Kissane Ltouqi,Training Videos,TV811,Understanding Drone Regulations,8, $ 27.50 , $ 5.50 , $ 214.50 
1101880,15/1/2018,Wholesale,Business,Pagac LLC,Morocco,Guercif,eBooks,EB501,Articulated Robots,5, $ 23.99 , $ 4.80 , $ 115.15 
1101881,15/1/2018,Wholesale,Business,Barton Inc.,Morocco,Akarma,Blueprints,BP106,Hexacopter Drone Blueprint,3, $ 8.99 , $ 1.80 , $ 25.17 
1101882,15/1/2018,Wholesale,Business,Daugherty Group,Morocco,Sidi Ahmed El Khadir,Training Videos,TV809,Understanding 3D Printing,11, $ 42.99 , $ 8.60 , $ 464.29 
1101883,15/1/2018,Wholesale,Business,Reinger Technologies,Morocco,Oulmes,Drones,DS306,DX-145 Drone,8, $ 250.00 , $ 50.00 ," $ 1,950.00 "
1101884,15/1/2018,Wholesale,Business,Herman LLC,Morocco,El Arba Des Bir Lenni,Blueprints,BP104,Cat Robot Blueprint,38, $ 4.99 , $ 1.00 , $ 188.62 
1101885,16/1/2018,Wholesale,Business,Carroll Inc.,Morocco,Oulad Zarrad,Drone Kits,DK204,BYOD-300,10, $ 89.00 , $ 17.80 , $ 872.20 
1101886,16/1/2018,Wholesale,Business,Russel Group,Morocco,Foum Jam'a,Robot Kits,RK602,BYOR-1000,10, $ 189.00 , $ 37.80 ," $ 1,852.20 "
1101887,16/1/2018,Wholesale,Business,Walker Group,Morocco,Zawyat Ahancal,eBooks,EB502,Building Your First Robot,11, $ 24.95 , $ 4.99 , $ 269.46 
1101888,16/1/2018,Retail,Individual,Hannah Leannon,Morocco,Oulad Amrane,Blueprints,BP105,Creature Robot Arms Blueprint ,1, $ 12.00 , 0 , $ 12.00 
1101889,17/1/2018,Wholesale,Business,Langosh Inc.,Morocco,Bezou,eBooks,EB505,Delivery Drones,12, $ 14.99 , $ 3.00 , $ 176.88 
1101890,17/1/2018,Wholesale,Business,Williamson Co.,Morocco,Mwaline al Oued,Drone Kits,DK204,BYOD-300,9, $ 89.00 , $ 17.80 , $ 783.20 
1101891,17/1/2018,Retail,Individual,Stephanie Conn,Egypt,Safaja,Blueprints,BP108,Panda Robot Blueprint,1, $ 7.99 , 0 , $ 7.99 
1101892,17/1/2018,Wholesale,Business,Clever Industries,Morocco,Talwat,eBooks,EB508,Fixed Wing Drones,8, $ 15.50 , $ 3.10 , $ 120.90 
1101893,17/1/2018,Wholesale,Business,Corkery International ,Morocco,Tatoufet,eBooks,EB513,Photograph Drones,5, $ 14.99 , $ 3.00 , $ 71.95 
1101894,17/1/2018,Retail,Individual,Sara Wilkinson,Morocco,Sidi Lamine,Drones,DS306,DX-145 Drone,1, $ 250.00 , 0 , $ 250.00 
1101895,17/1/2018,Retail,Individual,Eduard Trymme,Morocco,Ait Tagalla,Drone Kits,DK206,BYOD-400,1, $ 119.00 , 0 , $ 119.00 
1101896,18/1/2018,Wholesale,Business,Sporer LLC,Morocco,Sidi Bibi,Robot Kits,RK603,BYOR-1500,8, $ 189.00 , $ 37.80 ," $ 1,474.20 "
1101897,18/1/2018,Wholesale,Business,Koch LLC,Iraq,Baghdad,Drone Kits,DK204,BYOD-300,4, $ 89.00 , $ 17.80 , $ 338.20 
1101898,18/1/2018,Wholesale,Business,Hamill Inc.,Morocco,Sidi Kasem,Robot Kits,RK603,BYOR-1500,8, $ 189.00 , $ 37.80 ," $ 1,474.20 "
1101899,18/1/2018,Retail,Individual,Patin Carbery,Syria,Al Mazra`ah,Training Videos,TV806,Mapping with Drones,1, $ 49.00 , 0 , $ 49.00 
1101900,18/1/2018,Retail,Individual,Calida Behne,Morocco,Zerkat,Drone Kits,DK206,BYOD-400,1, $ 119.00 , 0 , $ 119.00 
1101901,18/1/2018,Wholesale,Business,LMD Resources,Kuwait,Al Ahmadi,Blueprints,BP109,QuadroCopter Blueprint ,10, $ 10.99 , $ 2.20 , $ 107.70 
1101902,19/1/2018,Wholesale,Business,Kessler Inc.,Morocco,Ahlaf,Blueprints,BP108,Panda Robot Blueprint,5, $ 7.99 , $ 1.60 , $ 38.35 
1101903,19/1/2018,Retail,Individual,Tom McGettrick,Morocco,Douar Ezzerarda,Robots,RS704,RLK-9920 Robot,1, $ 699.00 , 0 , $ 699.00 
1101904,19/1/2018,Wholesale,Business,Reilly LLC,Algeria,Bou Nouh,eBooks,EB521,Understanding Artificial Intelligence,9, $ 19.50 , $ 3.90 , $ 171.60 
1101905,19/1/2018,Retail,Individual,McKenzie Lockman,Morocco,Bni Quolla,Drone Kits,DK204,BYOD-300,2, $ 89.00 , 0 , $ 178.00 
1101906,19/1/2018,Retail,Individual,Marcellina Longthorne,Morocco,Abadou,Training Videos,TV811,Understanding Drone Regulations,1, $ 27.50 , 0 , $ 27.50 
1101907,19/1/2018,Retail,Individual,Nelly Abernathy,Morocco,Ksar Sghir,Robot Kits,RK603,BYOR-1500,1, $ 189.00 , 0 , $ 189.00 
1101908,20/1/2018,Retail,Individual,Steve Langosh,Syria,`Amuda,Blueprints,BP109,QuadroCopter Blueprint ,1, $ 10.99 , 0 , $ 10.99 
1101909,20/1/2018,Wholesale,Business,Trantow Technologies,Morocco,Alougoum,Robot Kits,RK602,BYOR-1000,3, $ 189.00 , $ 37.80 , $ 529.20 
1101910,20/1/2018,Wholesale,Business,The Lesch Company,Syria,Saydnaya,Training Videos,TV809,Understanding 3D Printing,5, $ 42.99 , $ 8.60 , $ 206.35 
1101911,20/1/2018,Wholesale,Business,H Plus Sport,Egypt,Armant,Drone Kits,DK204,BYOD-300,3, $ 89.00 , $ 17.80 , $ 249.20 
1101912,20/1/2018,Wholesale,Business,Heller Inc.,Morocco,Bahharet Oulad Ayyad,eBooks,EB513,Photograph Drones,10, $ 14.99 , $ 3.00 , $ 146.90 
1101913,20/1/2018,Retail,Individual,Deb Moore,Syria,An Nabk,eBooks,EB513,Photograph Drones,1, $ 14.99 , 0 , $ 14.99 
1101914,20/1/2018,Wholesale,Business,Gerhold Group,Morocco,Ait Yaazem,Training Videos,TV809,Understanding 3D Printing,3, $ 42.99 , $ 8.60 , $ 120.37 
1101915,20/1/2018,Wholesale,Business,Kemmer and Sons,Morocco,Settat,Blueprints,BP109,QuadroCopter Blueprint ,12, $ 10.99 , $ 2.20 , $ 129.68 
1101916,21/1/2018,Retail,Individual,Korie Duck,Morocco,Zegzel,Blueprints,BP104,Cat Robot Blueprint,1, $ 4.99 , 0 , $ 4.99 
1101917,21/1/2018,Wholesale,Business,Hayes LLC,Morocco,Tazert,eBooks,EB504,Cartesian Robots,7, $ 12.99 , $ 2.60 , $ 88.33 
1101918,21/1/2018,Retail,Individual,Jermain Boxell,Syria,Salkhad,Robot Kits,RK606,BYOR-3535,1, $ 222.00 , 0 , $ 222.00 
1101919,21/1/2018,Retail,Individual,Ethe Rappaport,Morocco,Ait Melloul,Robot Kits,RK607,BYOR-4005,1, $ 245.00 , 0 , $ 245.00 
1101920,21/1/2018,Wholesale,Business,Gleason LLC,Morocco,Taza,Training Videos,TV803,Cloud Computing,97, $ 29.99 , $ 6.00 ," $ 2,903.03 "
1101921,22/1/2018,Wholesale,Business,Schmidt Group,Morocco,Sidi Redouane,Drones,DS301,DA-SA702 Drone,7, $ 399.00 , $ 79.80 ," $ 2,713.20 "
1101922,22/1/2018,Wholesale,Business,Altenwerth and Sons,Morocco,Zawyat ech Cheikh,Training Videos,TV803,Cloud Computing,9, $ 29.99 , $ 6.00 , $ 263.91 
1101923,22/1/2018,Wholesale,Business,Barton Inc.,Iraq,Al `Amadiyah,Robot Kits,RK606,BYOR-3535,11, $ 225.00 , $ 45.00 ," $ 2,430.00 "
1101924,22/1/2018,Wholesale,Business,Metz Group,Morocco,Bhalil,Drones,DS306,DX-145 Drone,9, $ 250.00 , $ 50.00 ," $ 2,200.00 "
1101925,22/1/2018,Wholesale,Business,Rempel Inc.,Algeria,Sidi Namane,Blueprints,BP104,Cat Robot Blueprint,12, $ 4.99 , $ 1.00 , $ 58.88 
1101926,22/1/2018,Wholesale,Business,Heller Inc.,Egypt,Manfalut,Training Videos,TV803,Cloud Computing,6, $ 29.99 , $ 6.00 , $ 173.94 
1101927,22/1/2018,Wholesale,Business,Kiehn LLC,Morocco,Iazizatene,Blueprints,BP110,Sleepy Eye Blueprint,12, $ 11.99 , $ 2.40 , $ 141.48 
1101928,22/1/2018,Wholesale,Business,Fahey Forever Inc..,Egypt,Al Husayniyah,Training Videos,TV802,AI for Educators,57, $ 49.95 , $ 9.99 ," $ 2,837.16 "
1101929,23/1/2018,Retail,Individual,Kiley Kordovani,Morocco,Souk Tlet El Gharb,Training Videos,TV802,AI for Educators,1, $ 49.95 , 0 , $ 49.95 
1101930,23/1/2018,Wholesale,Business,Daugherty Group,Morocco,El Kelaa des Srarhna,Training Videos,TV809,Understanding 3D Printing,13, $ 42.99 , $ 8.60 , $ 550.27 
1101931,23/1/2018,Wholesale,Business,Abshire Inc.,Algeria,Reggane,Drone Kits,DK203,BYOD-220,10, $ 69.00 , $ 13.80 , $ 676.20 
1101932,23/1/2018,Wholesale,Business,Little and Sons,Algeria,Tizi-n-Bechar,Robot Kits,RK602,BYOR-1000,10, $ 190.00 , $ 38.00 ," $ 1,862.00 "
1101933,24/1/2018,Wholesale,Business,Kessler Inc.,Algeria,Didouche Mourad,Blueprints,BP104,Cat Robot Blueprint,9, $ 4.99 , $ 1.00 , $ 43.91 
1101934,24/1/2018,Wholesale,Business,Murazik Inc.,Morocco,Douar Toulal,Training Videos,TV804,Drone Video Techniques,4, $ 37.99 , $ 7.60 , $ 144.36 
1101935,24/1/2018,Wholesale,Business,Bergnaum Group,Morocco,Larache,eBooks,EB513,Photograph Drones,12, $ 14.99 , $ 3.00 , $ 176.88 
1101936,24/1/2018,Retail,Individual,Dugald Hackly,Egypt,Hirriyat Raznah,Drones,DS306,DX-145 Drone,1, $ 250.00 , 0 , $ 250.00 
1101937,24/1/2018,Wholesale,Business,Carter and Sons,Morocco,Asni,Blueprints,BP107,Ladybug Robot Blueprint,9, $ 12.00 , $ 2.40 , $ 105.60 
1101938,25/1/2018,Wholesale,Business,Lockman Group,Morocco,Ain Cheggag,Robots,RS706,RWW-75 Robot,6, $ 883.00 , $ 176.60 ," $ 5,121.40 "
1101939,25/1/2018,Wholesale,Business,Kemmer and Sons,Iraq,Mosul,Blueprints,BP104,Cat Robot Blueprint,8, $ 4.99 , $ 1.00 , $ 38.92 
1101940,25/1/2018,Wholesale,Business,Kreiger LLC,Algeria,Azazga,Robots,RS704,RLK-9920 Robot,12, $ 699.00 , $ 139.80 ," $ 8,248.20 "
1101941,25/1/2018,Retail,Individual,Cairistiona Keyden,Morocco,Kenitra,Robot Kits,RK602,BYOR-1000,1, $ 189.00 , 0 , $ 189.00 
1101942,25/1/2018,Wholesale,Business,Kemmer and Sons,Morocco,Ben Taieb,eBooks,EB521,Understanding Artificial Intelligence,8, $ 19.50 , $ 3.90 , $ 152.10 
1101943,25/1/2018,Retail,Individual,Frank Showler,Morocco,Melqa el Ouidane,eBooks,EB513,Photograph Drones,1, $ 14.99 , 0 , $ 14.99 
1101944,25/1/2018,Wholesale,Business,Hegmann Group,Morocco,'Ain Leuh,Robot Kits,RK605,BYOR-3000,81, $ 214.00 , $ 42.80 ," $ 17,291.20 "
1101945,25/1/2018,Retail,Individual,Mitchell Hayes,Morocco,Sgamna,eBooks,EB509,GPS Drones,1, $ 19.99 , 0 , $ 19.99 
1101946,26/1/2018,Wholesale,Business,Parisian LLC,Iraq,Shaqlawah,Blueprints,BP107,Ladybug Robot Blueprint,8, $ 12.00 , $ 2.40 , $ 93.60 
1101947,26/1/2018,Wholesale,Business,Faded Light Inc..,Morocco,Tissint,Blueprints,BP104,Cat Robot Blueprint,8, $ 4.99 , $ 1.00 , $ 38.92 
1101948,26/1/2018,Wholesale,Business,Flatley-Effertz,Morocco,Ben Qarrich,Blueprints,BP104,Cat Robot Blueprint,4, $ 4.99 , $ 1.00 , $ 18.96 
1101949,26/1/2018,Wholesale,Business,Marks Inc.,Morocco,Imi n'Oulaoun,eBooks,EB513,Photograph Drones,11, $ 14.99 , $ 3.00 , $ 161.89 
1101950,26/1/2018,Wholesale,Business,Beier Inc.,Syria,Binnish,Training Videos,TV811,Understanding Drone Regulations,5, $ 27.50 , $ 5.50 , $ 132.00 
1101951,26/1/2018,Wholesale,Business,Bechtelar LLC,Morocco,Ezzhiliga,Blueprints,BP107,Ladybug Robot Blueprint,9, $ 12.00 , $ 2.40 , $ 105.60 
1101952,26/1/2018,Retail,Individual,Jasmina Denge,Morocco,Tiztoutine,eBooks,EB520,Understanding Arduino,1, $ 17.50 , 0 , $ 17.50 
1101953,27/1/2018,Retail,Individual,Kathrine Varvara,Morocco,Taghbalt,eBooks,EB507,Drone Building Essentials,1, $ 13.99 , 0 , $ 13.99 
1101954,27/1/2018,Retail,Individual,Zulema Maultby,Morocco,Mayate,Training Videos,TV806,Mapping with Drones,1, $ 49.00 , 0 , $ 49.00 
1101955,27/1/2018,Wholesale,Business,CDIA Inc..,Morocco,Douar El Mellaliyine,Training Videos,TV805,Industrial 3D Printing ,6, $ 49.00 , $ 9.80 , $ 284.20 
1101956,27/1/2018,Retail,Individual,Malorie Barthod,Morocco,Ouezzane,Training Videos,TV807,Open Source Code,1, $ 32.95 , 0 , $ 32.95 
1101957,27/1/2018,Wholesale,Business,Witting Innovations,Algeria,'Ain el Hammam,Drone Kits,DK202,BYOD-200,27, $ 58.95 , $ 11.79 ," $ 1,579.86 "
1101958,28/1/2018,Wholesale,Business,Stroman Inc.,Morocco,Had Kourt,Training Videos,TV813,Virtual Reality Basics,3, $ 29.99 , $ 6.00 , $ 83.97 
1101959,28/1/2018,Retail,Individual,Yulma Leman,Morocco,Awlouz,Drones,DS305,DTI-84 Drone,1, $ 455.00 , 0 , $ 455.00 
1101960,28/1/2018,Wholesale,Business,Jacobi LLC,Morocco,Lambarkiyine,Blueprints,BP108,Panda Robot Blueprint,9, $ 7.99 , $ 1.60 , $ 70.31 
1101961,28/1/2018,Wholesale,Business,Trantow Technologies,Morocco,Sebt Bni Garfett,Robots,RS706,RWW-75 Robot,13, $ 883.00 , $ 176.60 ," $ 11,302.40 "
1101962,28/1/2018,Retail,Business,Medhurst Inc.,Algeria,Arbaoun,Training Videos,TV809,Understanding 3D Printing,4, $ 42.99 , 0 , $ 171.96 
1101963,28/1/2018,Retail,Individual,Douglas Dooley,Egypt,Qasr al Farafirah,Training Videos,TV804,Drone Video Techniques,1, $ 37.99 , 0 , $ 37.99 
1101964,29/1/2018,Wholesale,Business,Murphy LLC,Egypt,Qaha,Drones,DS306,DX-145 Drone,5, $ 250.00 , $ 50.00 ," $ 1,200.00 "
1101965,29/1/2018,Wholesale,Business,Hettinger and Sons,Morocco,Ouardana,Blueprints,BP102,Bsquare Robot Blueprint,3, $ 8.99 , $ 1.80 , $ 25.17 
1101966,30/1/2018,Wholesale,Business,Auer Inc.,Morocco,Taza,eBooks,EB501,Articulated Robots,13, $ 23.99 , $ 4.80 , $ 307.07 
1101967,30/1/2018,Wholesale,Business,Armstrong Resources,Algeria,Annaba,eBooks,EB512,Multi Rotor Drones,3, $ 24.95 , $ 4.99 , $ 69.86 
1101968,30/1/2018,Wholesale,Business,Schiller LLC,Morocco,Missour,Blueprints,BP104,Cat Robot Blueprint,12, $ 4.99 , $ 1.00 , $ 58.88 
1101969,30/1/2018,Retail,Business,Ebert LLC,Morocco,Oulad Tayeb,eBooks,EB521,Understanding Artificial Intelligence,74, $ 19.50 , 0 ," $ 1,443.00 "
1101970,30/1/2018,Wholesale,Business,Erdman LLC,Morocco,Iskourane,Robot Kits,RK603,BYOR-1500,89, $ 189.00 , $ 37.80 ," $ 16,783.20 "
1101971,30/1/2018,Wholesale,Business,DuBuque Group,Morocco,Guenfouda,eBooks,EB508,Fixed Wing Drones,23, $ 15.50 , $ 3.10 , $ 353.40 
1101972,30/1/2018,Wholesale,Business,WPS Technologies,Morocco,Tinzart,Training Videos,TV805,Industrial 3D Printing ,51, $ 49.00 , $ 9.80 ," $ 2,489.20 "
1101973,31/1/2018,Retail,Individual,Dewain Farquharson,Morocco,Ait Bousarane,Robot Kits,RK603,BYOR-1500,1, $ 189.00 , 0 , $ 189.00 
1101974,31/1/2018,Wholesale,Business,Reichel and Sons,Morocco,Akka,Drone Kits,DK203,BYOD-220,12, $ 69.00 , $ 13.80 , $ 814.20 
1101975,31/1/2018,Wholesale,Business,Windler Tech Supplies,Saudi Arabia,Buraydah,Training Videos,TV809,Understanding 3D Printing,10, $ 42.99 , $ 8.60 , $ 421.30 
1101976,31/1/2018,Wholesale,Business,Schinner Inc.,Morocco,Souk Khmis Bni Arouss,eBooks,EB502,Building Your First Robot,19, $ 24.95 , $ 4.99 , $ 469.06 
1101977,31/1/2018,Retail,Individual,Greg Collier,Morocco,Ben Guerir,Training Videos,TV803,Cloud Computing,1, $ 29.99 , 0 , $ 29.99 
1101978,31/1/2018,Retail,Individual,Dave Lemke,Morocco,Zaouiat Moulay Bouchta El Khammar,eBooks,EB519,Spherical Robots,1, $ 16.75 , 0 , $ 16.75 
1101979,1/2/2018,Wholesale,Business,Goodwin Inc.,Morocco,Bni Sidel,Training Videos,TV802,AI for Educators,11, $ 49.95 , $ 9.99 , $ 539.46 
1101980,1/2/2018,Wholesale,Business,Feil LLC,Syria,Tall Salhab,Drones,DS301,DA-SA702 Drone,11, $ 399.00 , $ 79.80 ," $ 4,309.20 "
1101981,1/2/2018,Retail,Individual,Joline Winham,Egypt,Shanhur,eBooks,EB503,Building Your Own Drone,1, $ 24.99 , 0 , $ 24.99 
1101982,1/2/2018,Retail,Individual,Rose Kling-Muller,Syria,Aleppo,eBooks,EB505,Delivery Drones,1, $ 14.99 , 0 , $ 14.99 
1101983,2/2/2018,Wholesale,Business,Rice Inc.,Egypt,Al `Alamayn,Training Videos,TV811,Understanding Drone Regulations,77, $ 27.50 , $ 5.50 ," $ 2,112.00 "
1101984,2/2/2018,Wholesale,Business,Kuhlman Inc.,Morocco,Ahfir,Drones,DS301,DA-SA702 Drone,9, $ 399.00 , $ 79.80 ," $ 3,511.20 "
1101985,2/2/2018,Retail,Individual,Vidovik MacCarter,Morocco,Ayt Mohamed,Training Videos,TV803,Cloud Computing,1, $ 29.99 , 0 , $ 29.99 
1101986,2/2/2018,Wholesale,Business,Ratke and Sons,Morocco,Ait Ouakrim,eBooks,EB503,Building Your Own Drone,9, $ 24.99 , $ 5.00 , $ 219.91 
1101987,2/2/2018,Retail,Individual,Toby Quitzon,Morocco,Oulad Rahmoun,Blueprints,BP108,Panda Robot Blueprint,1, $ 7.99 , 0 , $ 7.99 
1101988,2/2/2018,Wholesale,Business,Cremin LLC,Egypt,Damanhur,Robots,RS706,RWW-75 Robot,88, $ 883.00 , $ 176.60 ," $ 77,527.40 "
1101989,3/2/2018,Retail,Individual,Murry Jarrel,Morocco,Tizgane,Blueprints,BP107,Ladybug Robot Blueprint,1, $ 12.00 , 0 , $ 12.00 
1101990,3/2/2018,Wholesale,Business,Schinner Inc.,Egypt,Sawadah,Drone Kits,DK208,BYOD-500,8, $ 167.00 , $ 33.40 ," $ 1,302.60 "
1101991,3/2/2018,Wholesale,Business,Rippin Industries,Morocco,Chefchaouene,Training Videos,TV807,Open Source Code,12, $ 32.95 , $ 6.59 , $ 388.81 
1101992,3/2/2018,Retail,Individual,Sharona Allbon,Morocco,Boula'wane,eBooks,EB509,GPS Drones,1, $ 19.99 , 0 , $ 19.99 
1101993,3/2/2018,Wholesale,Business,McCullough LLC,Egypt,Shubra al Khaymah,eBooks,EB508,Fixed Wing Drones,30, $ 15.50 , $ 3.10 , $ 461.90 
1101994,4/2/2018,Wholesale,Business,Reilly LLC,Algeria,Tizi Gheniff,Drone Kits,DK203,BYOD-220,11, $ 69.00 , $ 13.80 , $ 745.20 
1101995,4/2/2018,Retail,Individual,Laura Hayes,Algeria,Souama,Training Videos,TV805,Industrial 3D Printing ,1, $ 49.00 , 0 , $ 49.00 
1101996,4/2/2018,Wholesale,Business,Barton Inc.,Egypt,Kafr Sa`d,Training Videos,TV811,Understanding Drone Regulations,4, $ 27.50 , $ 5.50 , $ 104.50 
1101997,4/2/2018,Wholesale,Business,Cummings LLC,Morocco,Boureit,Drone Kits,DK206,BYOD-400,6, $ 119.00 , $ 23.80 , $ 690.20 
1101998,4/2/2018,Retail,Individual,Letta Ganniclifft,Morocco,Talat-n-Ya'qoub,Training Videos,TV809,Understanding 3D Printing,1, $ 42.99 , 0 , $ 42.99 
1101999,4/2/2018,Retail,Individual,Ravi Dewitt,Algeria,Beni Abbes,eBooks,EB502,Building Your First Robot,1, $ 24.95 , 0 , $ 24.95 
1102000,4/2/2018,Retail,Individual,Kaja Pemble,Morocco,Douar Oulad Mkoudou,Robot Kits,RK606,BYOR-3535,1, $ 224.00 , 0 , $ 224.00 
1102001,4/2/2018,Wholesale,Business,Bergnaum Group,Morocco,Bou Zemou,Drones,DS306,DX-145 Drone,107, $ 250.00 , $ 50.00 ," $ 26,700.00 "
1102002,4/2/2018,Wholesale,Business,Kassulke-Schneider,Morocco,'Ali Ben Sliman,Robot Kits,RK603,BYOR-1500,60, $ 189.00 , $ 37.80 ," $ 11,302.20 "
1102003,5/2/2018,Retail,Individual,Melonie Klemenz,Morocco,Douar Tassift,Drone Kits,DK209,BYOD-550,1, $ 179.00 , 0 , $ 179.00 
